EventID,LocationID,NHoles,NClams,NMorts
954,21200,100,2,2
954,22309,95,0,0
957,12400,100,0,0
957,12600,100,0,0
962,42600,100,2,2
962,42500,100,2,1
962,41400,100,4,4
963,41400,500,2,2
964,22309,100,3,3
964,22307,100,7,7
964,21200,100,2,2
965,21200,100,4,4
967,21200,100,2,2
970,22309,50,2,2
970,22307,50,2,2
970,21200,50,3,3
972,12600,100,0,0
976,22307,100,1,1
976,21200,100,4,4
977,21200,100,6,6
977,22307,100,5,5
977,22309,100,5,5
978,22309,100,1,1
978,22307,100,3,3
985,22307,100,4,4
985,21200,100,3,3
986,12600,50,4,4
986,12500,50,7,7
986,12400,50,8,8
987,22307,100,1,1
988,31005,100,3,3
988,32007,100,4,4
989,33012,100,3,3
989,33012,102,6,6
992,41400,100,4,4
993,12400,50,5,5
993,12500,50,6,6
993,12600,50,3,3
994,12400,100,11,11
994,12500,100,10,10
994,12600,100,11,11
995,12500,100,15,15
995,12600,100,9,9
997,21200,100,2,2
997,22307,100,8,8
998,21200,50,4,4
998,21200,50,5,5
998,21200,50,2,2
998,22307,100,9,7
999,22307,100,4,4
999,21200,100,5,5
999,22309,100,5,5
1000,22307,100,2,2
1000,21200,100,6,6
1000,22309,100,4,4
1001,21200,100,7,7
1001,22307,100,4,4
1002,22307,100,8,8
990,33012,100,5,5
1003,42500,100,2,2
1004,41300,100,9,9
1005,41300,100,10,10
1005,42600,100,5,5
1006,31005,100,4,4
1006,32009,100,6,6
1008,31005,100,4,4
1008,32007,100,6,6
1010,21200,100,16,16
1011,22309,100,4,4
1011,22307,100,2,2
1012,22309,100,4,4
1012,22307,100,7,7
1013,22309,100,1,1
1013,22307,100,4,4
1013,22309,100,9,9
1014,21200,100,4,4
1017,12600,100,7,7
1017,12500,50,7,7
1018,12400,50,3,3
1018,12500,50,4,4
1018,12600,50,3,3
1019,12400,100,13,13
1019,12500,100,16,16
1021,22309,100,4,4
1024,21200,100,6,6
1029,21200,50,0,0
1033,12400,100,6,6
1034,12400,50,2,2
1050,22307,100,1,1
1062,12400,50,6,6
1070,21200,100,2,2
1086,21200,100,6,6
1086,22307,50,2,2
1088,11200,100,1,1
1089,21200,100,3,3
1098,41300,100,0,0
1099,41400,100,4,4
1101,33012,100,5,5
1102,32007,100,1,1
1102,32009,100,1,1
1103,33012,100,2,2
1111,12600,50,4,4
1111,12400,50,2,2
1118,21200,100,9,9
1118,22309,100,3,3
1119,22307,100,0,0
